"File","CurrentExt","Detected","SuggestExt","Action"
"117.png","png","png","png","OK"
"129.png","png","png","png","OK"
"134.png","png","png","png","OK"
"2079.png","png","png","png","OK"
"210.png","png","png","png","OK"
"2104.png","png","png","png","OK"
"2113.png","png","png","png","OK"
"2144.png","png","png","png","OK"
"2196.png","png","png","png","OK"
"2205.png","png","png","png","OK"
"2245.png","png","png","png","OK"
"2264.png","png","png","png","OK"
"2326.png","png","png","png","OK"
"2331.png","png","png","png","OK"
"2410.png","png","png","png","OK"
"2424.png","png","png","png","OK"
"2592.png","png","png","png","OK"
"2652.png","png","png","png","OK"
"2657.png","png","png","png","OK"
"2728.png","png","png","png","OK"
"2804.png","png","png","png","OK"
"2828.png","png","png","png","OK"
"2834.png","png","png","png","OK"
"2837.png","png","png","png","OK"
"2880.png","png","png","png","OK"
"2886.png","png","png","png","OK"
"29.png","png","png","png","OK"
"2975.png","png","png","png","OK"
"3.png","png","png","png","OK"
"3096.png","png","png","png","OK"
"3141.png","png","png","png","OK"
"3188.png","png","png","png","OK"
"3243.png","png","png","png","OK"
"347.png","png","png","png","OK"
"368.png","png","png","png","OK"
"428.png","png","png","png","OK"
"53.png","png","png","png","OK"
"60.png","png","png","png","OK"
"abilenechristian.png","png","png","png","OK"
"airforce.png","png","png","png","OK"
"akron.png","png","png","png","OK"
"alabama.png","png","png","png","OK"
"alabamaam.png","png","png","png","OK"
"alabamastate.png","png","png","png","OK"
"albany.png","png","png","png","OK"
"alcorn.png","png","png","png","OK"
"americanuniversity.png","png","png","png","OK"
"appstate.png","png","png","png","OK"
"arizona.png","png","png","png","OK"
"arizonastate.png","png","png","png","OK"
"arkansas.png","png","png","png","OK"
"arkansaspinebluff.png","png","png","png","OK"
"arkansasstate.png","png","png","png","OK"
"army.png","png","png","png","OK"
"auburn.png","png","png","png","OK"
"austinpeay.png","png","png","png","OK"
"ballstate.png","png","png","png","OK"
"baylor.png","png","png","png","OK"
"bellarmine.png","png","png","png","OK"
"belmont.png","png","png","png","OK"
"bethunecookman.png","png","png","png","OK"
"binghamton.png","png","png","png","OK"
"boisestate.png","png","png","png","OK"
"bostoncollege.png","png","png","png","OK"
"bostonuniversity.png","png","png","png","OK"
"bowlinggreen.png","png","png","png","OK"
"bradley.png","png","png","png","OK"
"brown.png","png","png","png","OK"
"bryant.png","png","png","png","OK"
"bucknell.png","png","png","png","OK"
"buffalo.png","png","png","png","OK"
"butler.png","png","png","png","OK"
"byu.png","png","png","png","OK"
"cal.png","png","png","png","OK"
"californiabaptist.png","png","png","png","OK"
"calpoly.png","png","png","png","OK"
"campbell.png","png","png","png","OK"
"canisius.png","png","png","png","OK"
"centralarkansas.png","png","png","png","OK"
"centralconnecticut.png","png","png","png","OK"
"centralmichigan.png","png","png","png","OK"
"charleston.png","png","png","png","OK"
"charlestonsouthern.png","png","png","png","OK"
"charlotte.png","png","png","png","OK"
"chattanooga.png","png","png","png","OK"
"chicagostate.png","png","png","png","OK"
"cincinnati.png","png","png","png","OK"
"cincinnatibearcats.png","png","png","png","OK"
"clemson.png","png","png","png","OK"
"clevelandstate.png","png","png","png","OK"
"coastalcarolina.png","png","png","png","OK"
"colgate.png","png","png","png","OK"
"colorado.png","png","png","png","OK"
"coloradostate.png","png","png","png","OK"
"columbia.png","png","png","png","OK"
"coppinstate.png","png","png","png","OK"
"cornell.png","png","png","png","OK"
"creighton.png","png","png","png","OK"
"csubakersfield.png","png","png","png","OK"
"csufullerton.png","png","png","png","OK"
"csunorthridge.png","png","png","png","OK"
"dartmouth.png","png","png","png","OK"
"davidson.png","png","png","png","OK"
"dayton.png","png","png","png","OK"
"delaware.png","png","png","png","OK"
"delawarestate.png","png","png","png","OK"
"denver.png","png","png","png","OK"
"depaul.png","png","png","png","OK"
